state,plant_name,unit_no,total_capacity_mw,commissioning_date,category,so2_norms_mg_nm3,prior_avg_so2_mg_nm3,target_avg_so2_mg_nm3
Andhra Pradesh,Damodaram Sanjeevaiah TPS,1,800.0,2014-08-28,C,200,623.0,472.0
Andhra Pradesh,Damodaram Sanjeevaiah TPS,2,800.0,2015-03-17,C,200,618.0,530.0
Andhra Pradesh,Dr. N.TATA RAO TPS,1,210.0,1979-11-01,A,600,1213.0,1227.0
Andhra Pradesh,Dr. N.TATA RAO TPS,2,210.0,1980-10-10,A,600,1184.0,1170.0
Andhra Pradesh,Dr. N.TATA RAO TPS,3,210.0,1989-10-05,A,600,1205.0,1219.0
Andhra Pradesh,Dr. N.TATA RAO TPS,4,210.0,1990-08-23,A,600,1221.0,1183.0
Andhra Pradesh,Dr. N.TATA RAO TPS,5,210.0,1994-03-31,A,600,1213.0,1147.0
Andhra Pradesh,Dr. N.TATA RAO TPS,6,210.0,1995-02-24,A,600,1219.0,1189.0
Andhra Pradesh,Dr. N.TATA RAO TPS,7,500.0,2009-10-08,A,200,808.0,864.0
Andhra Pradesh,PAINAMPURAM TPP,1,660.0,2015-02-07,C,200,900.0,1254.0
Andhra Pradesh,PAINAMPURAM TPP,2,660.0,2015-09-03,C,200,900.0,1328.0
Andhra Pradesh,RAYALASEEMA TPS,1,210.0,1994-03-31,C,600,335.0,194.0
Andhra Pradesh,RAYALASEEMA TPS,2,210.0,1995-02-25,C,600,339.0,161.0
Andhra Pradesh,RAYALASEEMA TPS,3,210.0,2007-01-25,C,600,607.0,200.0
Andhra Pradesh,RAYALASEEMA TPS,4,210.0,2007-11-20,C,600,459.0,170.0
Andhra Pradesh,RAYALASEEMA TPS,5,210.0,2010-12-31,C,600,605.0,321.0
Andhra Pradesh,SGPL TPP,1,660.0,2016-11-12,C,200,1012.0,1152.0
Andhra Pradesh,SGPL TPP,2,660.0,2017-02-15,C,100,1234.0,1160.0
Andhra Pradesh,SIMHADRI,1,500.0,2002-02-22,A,200,1003.0,983.0
Andhra Pradesh,SIMHADRI,2,500.0,2002-08-24,A,200,924.0,888.0
Andhra Pradesh,SIMHADRI,3,500.0,2011-03-29,A,200,1072.0,923.0
Andhra Pradesh,SIMHADRI,4,500.0,2012-03-30,A,200,851.0,677.0
Andhra Pradesh,VIZAG TPP,1,520.0,2015-12-27,A,200,761.0,856.0
Andhra Pradesh,VIZAG TPP,2,520.0,2016-03-30,A,200,732.0,784.0
Assam,BONGAIGAON TPP,1,250.0,2015-06-22,C,600,879.0,1253.0
Assam,BONGAIGAON TPP,2,250.0,2017-03-22,C,100,862.0,1261.0
Assam,BONGAIGAON TPP,3,250.0,2019-03-23,C,100,938.0,1208.0
Bihar,BARAUNI TPS,8,250.0,2018-01-11,C,100,1397.0,1114.0
Bihar,BARAUNI TPS,9,250.0,2018-03-31,C,100,1383.0,1092.0
Bihar,BARH I,1,660.0,2021-10-30,C,100,900.0,1324.0
Bihar,BARH II,4,660.0,2013-11-20,C,200,1199.0,1333.0
Bihar,BARH II,5,660.0,2015-03-04,C,200,1210.0,1278.0
Bihar,KAHALGAON TPS,1,210.0,1992-03-31,C,600,787.0,797.0
Bihar,KAHALGAON TPS,2,210.0,1994-03-17,C,600,803.0,808.0
Bihar,KAHALGAON TPS,3,210.0,1995-03-24,C,600,805.0,804.0
Bihar,KAHALGAON TPS,4,210.0,1996-03-18,C,600,793.0,828.0
Bihar,KAHALGAON TPS,5,500.0,2007-03-31,C,200,800.0,801.0
Bihar,KAHALGAON TPS,6,500.0,2008-03-16,C,200,784.0,810.0
Bihar,KAHALGAON TPS,7,500.0,2009-07-31,C,200,771.0,778.0
Bihar,MUZAFFARPUR TPS,3,195.0,2015-03-31,B,600,972.0,1043.0
Bihar,MUZAFFARPUR TPS,4,195.0,2016-03-24,B,600,1114.0,1032.0
Bihar,NABI NAGAR TPP,1,250.0,2016-03-20,C,600,1282.0,1134.0
Bihar,NABI NAGAR TPP,2,250.0,2017-04-03,C,100,1360.0,1150.0
Bihar,NABI NAGAR TPP,3,250.0,2019-02-26,C,100,1433.0,1226.0
Bihar,NABI NAGAR TPP,4,250.0,2021-11-10,C,100,1333.0,1092.0
Bihar,NEW NABI NAGAR TPP,1,660.0,2019-07-12,C,100,1484.0,1302.0
Bihar,NEW NABI NAGAR TPP,2,660.0,2021-03-31,C,100,1510.0,1346.0
Chhattisgarh,AKALTARA TPS,2,600.0,2018-01-18,C,100,764.0,1004.0
Chhattisgarh,AKALTARA TPS,3,600.0,2013-08-13,C,200,794.0,878.0
Chhattisgarh,AKALTARA TPS,4,600.0,2014-08-22,C,200,804.0,672.0
Chhattisgarh,AVANTHA BHANDAR,1,600.0,2014-03-31,C,200,956.0,690.0
Chhattisgarh,BALCO TPS,1,300.0,2015-06-04,B,600,900.0,1283.0
Chhattisgarh,BALCO TPS,2,300.0,2016-03-24,B,600,900.0,1385.0
Chhattisgarh,BANDAKHAR TPP,1,300.0,2015-06-19,C,600,396.0,343.0
Chhattisgarh,BARADARHA TPS,1,600.0,2014-02-23,C,200,1040.0,1062.0
Chhattisgarh,BARADARHA TPS,2,600.0,2015-03-24,C,200,1273.0,1182.0
Chhattisgarh,BHILAI TPS,1,250.0,2008-04-20,B,600,613.0,1115.0
Chhattisgarh,BHILAI TPS,2,250.0,2009-07-12,B,600,698.0,1141.0
Chhattisgarh,BINJKOTE TPP,1,300.0,2018-03-28,C,100,410.0,496.0
Chhattisgarh,BINJKOTE TPP,2,300.0,2017-04-25,C,100,416.0,410.0
Chhattisgarh,DSPM TPS,1,250.0,2007-03-30,B,600,1064.0,1117.0
Chhattisgarh,DSPM TPS,2,250.0,2007-12-11,B,600,1045.0,1032.0
Chhattisgarh,KORBA STPS,1,200.0,1983-02-28,B,600,1035.0,1031.0
Chhattisgarh,KORBA STPS,2,200.0,1983-10-31,B,600,1030.0,1036.0
Chhattisgarh,KORBA STPS,3,200.0,1984-03-17,B,600,1028.0,1009.0
Chhattisgarh,KORBA STPS,4,500.0,1987-05-31,B,200,971.0,986.0
Chhattisgarh,KORBA STPS,5,500.0,1988-03-25,B,200,999.0,1014.0
Chhattisgarh,KORBA STPS,6,500.0,1989-02-26,B,200,996.0,1008.0
Chhattisgarh,KORBA STPS,7,500.0,2010-11-25,B,200,915.0,871.0
Chhattisgarh,KORBA-WEST TPS,1,210.0,1984-03-30,B,600,581.0,832.0
Chhattisgarh,KORBA-WEST TPS,2,210.0,1983-06-21,B,600,587.0,826.0
Chhattisgarh,KORBA-WEST TPS,3,210.0,1985-03-26,B,600,548.0,737.0
Chhattisgarh,KORBA-WEST TPS,4,210.0,1986-03-13,B,600,576.0,698.0
Chhattisgarh,KORBA-WEST TPS,5,500.0,2013-03-22,B,200,588.0,882.0
Chhattisgarh,LARA TPP,2,800.0,2020-07-12,C,100,1125.0,1131.0
Chhattisgarh,MARWA TPS,1,500.0,2014-03-30,C,200,1145.0,1075.0
Chhattisgarh,MARWA TPS,2,500.0,2016-07-15,C,200,1150.0,1079.0
Chhattisgarh,NAWAPARA TPP,1,300.0,2016-08-14,C,600,464.0,462.0
Chhattisgarh,NAWAPARA TPP,2,300.0,2017-04-18,C,600,464.0,466.0
Chhattisgarh,PATHADI TPP,1,300.0,2009-06-04,C,600,792.0,767.0
Chhattisgarh,PATHADI TPP,2,300.0,2010-03-25,C,600,732.0,763.0
Chhattisgarh,RAIKHEDA TPP,1,685.0,2015-02-24,C,200,1112.0,1184.0
Chhattisgarh,RAIKHEDA TPP,2,685.0,2016-03-28,C,200,1148.0,1221.0
Chhattisgarh,SIPAT STPS,1,660.0,2011-06-27,C,200,900.0,996.0
Chhattisgarh,SIPAT STPS,2,660.0,2011-12-24,C,200,787.0,1110.0
Chhattisgarh,SIPAT STPS,3,660.0,2012-06-02,C,200,782.0,788.0
Chhattisgarh,SIPAT STPS,4,500.0,2007-05-27,C,200,894.0,1031.0
Chhattisgarh,SIPAT STPS,5,500.0,2008-08-13,C,200,800.0,1060.0
Chhattisgarh,TAMNAR TPP,1,600.0,2015-01-07,C,200,1283.0,1350.0
Chhattisgarh,TAMNAR TPP,2,600.0,2014-03-10,C,200,1287.0,1381.0
Chhattisgarh,TAMNAR TPP,3,600.0,2014-03-30,C,200,1213.0,1352.0
Chhattisgarh,TAMNAR TPP,4,600.0,2015-03-28,C,200,1433.0,1388.0
Chhattisgarh,UCHPINDA TPP,1,360.0,2015-10-28,C,600,1077.0,1118.0
Chhattisgarh,UCHPINDA TPP,2,360.0,2016-01-28,C,600,1070.0,1154.0
Chhattisgarh,UCHPINDA TPP,3,360.0,2017-09-12,C,100,987.0,985.0
Chhattisgarh,UCHPINDA TPP,4,360.0,2019-03-20,C,100,960.0,1164.0
Gujarat,GANDHI NAGAR TPS,3,210.0,1990-03-20,C,600,1038.0,943.0
Gujarat,GANDHI NAGAR TPS,4,210.0,1991-07-20,C,600,951.0,990.0
Gujarat,GANDHI NAGAR TPS,5,210.0,1998-03-17,C,600,1084.0,1105.0
Gujarat,KUTCH LIG. TPS,3,75.0,1997-03-31,C,600,3401.0,3153.0
Gujarat,MUNDRA TPS,1,330.0,2009-08-04,C,600,532.0,501.0
Gujarat,MUNDRA TPS,2,330.0,2010-03-17,C,600,514.0,510.0
Gujarat,MUNDRA TPS,3,330.0,2010-08-02,C,600,489.0,494.0
Gujarat,MUNDRA TPS,4,330.0,2010-12-20,C,600,497.0,498.0
Gujarat,MUNDRA TPS,5,660.0,2010-12-26,C,200,462.0,387.0
Gujarat,MUNDRA TPS,6,660.0,2011-07-20,C,200,393.0,358.0
Gujarat,MUNDRA UMTPP,1,800.0,2012-02-25,C,200,998.0,935.0
Gujarat,MUNDRA UMTPP,2,800.0,2012-07-17,C,200,1051.0,1217.0
Gujarat,MUNDRA UMTPP,3,800.0,2012-10-16,C,200,1052.0,1178.0
Gujarat,MUNDRA UMTPP,4,800.0,2013-01-16,C,200,900.0,1217.0
Gujarat,MUNDRA UMTPP,5,800.0,2013-03-18,C,200,1087.0,1203.0
Gujarat,SALAYA TPP,1,600.0,2012-02-22,C,200,126.0,159.0
Gujarat,SALAYA TPP,2,600.0,2012-06-13,C,200,122.0,157.0
Gujarat,SIKKA REP. TPS,3,250.0,2015-03-29,C,600,900.0,1126.0
Gujarat,SIKKA REP. TPS,4,250.0,2015-09-25,C,600,900.0,1458.0
Gujarat,UKAI TPS,3,200.0,1979-01-21,C,600,1168.0,1076.0
Gujarat,UKAI TPS,4,200.0,1979-03-28,C,600,930.0,1111.0
Gujarat,UKAI TPS,5,210.0,1985-01-30,C,600,1135.0,942.0
Gujarat,UKAI TPS,6,500.0,2013-03-05,C,200,1021.0,929.0
Gujarat,WANAKBORI TPS,1,210.0,1982-03-23,C,600,755.0,819.0
Gujarat,WANAKBORI TPS,2,210.0,1983-01-15,C,600,829.0,826.0
Gujarat,WANAKBORI TPS,3,210.0,1984-03-15,C,600,848.0,826.0
Gujarat,WANAKBORI TPS,4,210.0,1986-03-09,C,600,905.0,809.0
Gujarat,WANAKBORI TPS,5,210.0,1986-09-23,C,600,863.0,878.0
Gujarat,WANAKBORI TPS,6,210.0,1987-11-18,C,600,938.0,832.0
Gujarat,WANAKBORI TPS,7,210.0,1998-12-31,C,600,902.0,891.0
Gujarat,WANAKBORI TPS,8,800.0,2019-10-12,C,100,1001.0,958.0
Haryana,INDIRA GANDHI STPP,3,500.0,2012-11-07,A,200,1177.0,1091.0
Haryana,PANIPAT TPS,6,210.0,2001-03-31,A,600,391.0,963.0
Haryana,PANIPAT TPS,7,250.0,2004-09-28,A,600,606.0,1001.0
Haryana,PANIPAT TPS,8,250.0,2005-01-28,A,600,654.0,943.0
Haryana,RAJIV GANDHI TPS,1,600.0,2010-03-31,C,200,955.0,1014.0
Haryana,RAJIV GANDHI TPS,2,600.0,2010-10-01,C,200,878.0,1135.0
Haryana,YAMUNA NAGAR TPS,1,300.0,2007-11-01,C,600,74.0,973.0
Haryana,YAMUNA NAGAR TPS,2,300.0,2008-03-29,C,600,337.0,971.0
Jharkhand,CHANDRAPURA(DVC) TPS,7,250.0,2009-11-04,C,600,569.0,669.0
Jharkhand,CHANDRAPURA(DVC) TPS,8,250.0,2010-03-31,C,600,604.0,648.0
Jharkhand,JOJOBERA TPS,2,120.0,2001-02-01,C,600,559.0,648.0
Jharkhand,JOJOBERA TPS,3,120.0,2002-02-01,C,600,531.0,628.0
Jharkhand,KODARMA TPP,2,500.0,2013-02-15,C,200,733.0,925.0
Jharkhand,MAHADEV PRASAD STPP,1,270.0,2012-11-19,C,600,1045.0,751.0
Jharkhand,MAHADEV PRASAD STPP,2,270.0,2013-03-29,C,600,1133.0,606.0
Jharkhand,MAITHON RB TPP,1,525.0,2011-06-30,C,200,900.0,751.0
Jharkhand,MAITHON RB TPP,2,525.0,2012-03-31,C,200,900.0,606.0
Jharkhand,TENUGHAT TPS,1,210.0,1994-04-14,C,600,352.0,322.0
Jharkhand,TENUGHAT TPS,2,210.0,1996-10-10,C,600,370.0,342.0
Karnataka,BELLARY TPS,1,500.0,2007-12-03,C,200,2294.0,2325.0
Karnataka,BELLARY TPS,2,500.0,2012-03-23,C,200,2065.0,2133.0
Karnataka,BELLARY TPS,3,700.0,2016-03-01,C,200,2025.0,2082.0
Karnataka,KUDGI STPP,1,800.0,2016-12-25,C,200,1202.0,1378.0
Karnataka,KUDGI STPP,3,800.0,2018-03-12,C,100,1208.0,1381.0
Karnataka,RAICHUR TPS,2,210.0,1986-03-02,C,600,1770.0,1461.0
Karnataka,RAICHUR TPS,4,210.0,1994-09-29,C,600,1801.0,1432.0
Karnataka,RAICHUR TPS,5,210.0,1999-01-31,C,600,2043.0,1694.0
Karnataka,RAICHUR TPS,6,210.0,1999-07-22,C,600,1973.0,1765.0
Karnataka,RAICHUR TPS,7,210.0,2002-12-11,C,600,2184.0,1690.0
Karnataka,RAICHUR TPS,8,250.0,2010-06-26,C,600,1828.0,1405.0
Karnataka,TORANGALLU TPS(SBU-I),1,130.0,1999-01-15,C,600,412.0,459.0
Karnataka,TORANGALLU TPS(SBU-I),2,130.0,1999-05-16,C,600,378.0,454.0
Karnataka,TORANGALLU TPS(SBU-II),1,300.0,2009-04-23,C,600,351.0,362.0
Karnataka,TORANGALLU TPS(SBU-II),2,300.0,2009-08-24,C,600,362.0,340.0
Karnataka,UDUPI TPP,1,600.0,2010-07-23,C,200,505.0,537.0
Karnataka,UDUPI TPP,2,600.0,2011-04-16,C,200,528.0,566.0
Karnataka,YERMARUS TPP,1,800.0,2016-03-29,C,200,1526.0,1476.0
Karnataka,YERMARUS TPP,2,800.0,2017-03-29,C,100,1370.0,1289.0
Madhya Pradesh,AMARKANTAK EXT TPS,3,210.0,2008-06-15,C,600,902.0,656.0
Madhya Pradesh,BINA TPS,1,250.0,2012-08-12,C,600,864.0,996.0
Madhya Pradesh,BINA TPS,2,250.0,2013-03-31,C,600,832.0,988.0
Madhya Pradesh,GADARWARA TPP,1,800.0,2019-03-29,C,100,1189.0,1272.0
Madhya Pradesh,GADARWARA TPP,2,800.0,2021-02-16,C,100,1213.0,1358.0
Madhya Pradesh,MAHAN TPP,1,600.0,2013-02-24,C,200,751.0,815.0
Madhya Pradesh,MAHAN TPP,2,600.0,2018-10-07,C,100,759.0,875.0
Madhya Pradesh,NIGRI TPP,1,660.0,2014-08-29,C,200,1289.0,1191.0
Madhya Pradesh,NIGRI TPP,2,660.0,2015-02-27,C,200,1344.0,1177.0
Madhya Pradesh,SANJAY GANDHI TPS,1,210.0,1993-03-26,C,600,1275.0,1155.0
Madhya Pradesh,SANJAY GANDHI TPS,2,210.0,1994-03-27,C,600,1185.0,1637.0
Madhya Pradesh,SANJAY GANDHI TPS,3,210.0,1999-02-28,C,600,1013.0,895.0
Madhya Pradesh,SANJAY GANDHI TPS,4,210.0,1999-11-23,C,600,1062.0,1174.0
Madhya Pradesh,SANJAY GANDHI TPS,5,500.0,2007-06-18,C,200,1151.0,1224.0
Madhya Pradesh,SASAN UMTPP,1,660.0,2013-05-30,C,200,813.0,645.0
Madhya Pradesh,SASAN UMTPP,2,660.0,2013-12-18,C,200,589.0,694.0
Madhya Pradesh,SASAN UMTPP,3,660.0,2014-05-21,C,200,561.0,545.0
Madhya Pradesh,SASAN UMTPP,4,660.0,2014-03-25,C,200,723.0,710.0
Madhya Pradesh,SASAN UMTPP,5,660.0,2014-08-24,C,200,1105.0,1016.0
Madhya Pradesh,SASAN UMTPP,6,660.0,2015-03-19,C,200,858.0,673.0
Madhya Pradesh,SEIONI TPP,1,600.0,2016-03-22,C,200,917.0,982.0
Madhya Pradesh,SHREE SINGAJI TPP,1,600.0,2013-11-18,C,200,1026.0,1198.0
Madhya Pradesh,SHREE SINGAJI TPP,2,600.0,2014-10-15,C,200,1152.0,988.0
Madhya Pradesh,SHREE SINGAJI TPP,3,660.0,2018-11-18,C,100,1236.0,1164.0
Madhya Pradesh,SHREE SINGAJI TPP,4,660.0,2019-03-27,C,100,1010.0,989.0
Madhya Pradesh,VINDHYACHAL STPS,1,210.0,1987-10-10,C,600,1018.0,984.0
Madhya Pradesh,VINDHYACHAL STPS,2,210.0,1988-07-23,C,600,1039.0,979.0
Madhya Pradesh,VINDHYACHAL STPS,3,210.0,1989-02-03,C,600,999.0,980.0
Madhya Pradesh,VINDHYACHAL STPS,4,210.0,1989-12-26,C,600,1029.0,953.0
Madhya Pradesh,VINDHYACHAL STPS,5,210.0,1990-03-31,C,600,1022.0,970.0
Madhya Pradesh,VINDHYACHAL STPS,6,210.0,1991-02-01,C,600,1039.0,967.0
Madhya Pradesh,VINDHYACHAL STPS,7,500.0,1999-03-03,C,200,1009.0,962.0
Madhya Pradesh,VINDHYACHAL STPS,8,500.0,2000-02-26,C,200,1020.0,960.0
Madhya Pradesh,VINDHYACHAL STPS,9,500.0,2006-07-27,C,200,1018.0,1031.0
Madhya Pradesh,VINDHYACHAL STPS,10,500.0,2007-03-08,C,200,1044.0,987.0
Madhya Pradesh,VINDHYACHAL STPS,11,500.0,2012-06-14,C,200,1015.0,987.0
Maharashtra,AMARAVATI TPS,1,270.0,2013-03-25,C,600,409.0,444.0
Maharashtra,AMARAVATI TPS,2,270.0,2014-02-17,C,600,398.0,400.0
Maharashtra,AMARAVATI TPS,3,270.0,2015-01-29,C,600,461.0,447.0
Maharashtra,AMARAVATI TPS,4,270.0,2015-03-04,C,600,384.0,399.0
Maharashtra,AMARAVATI TPS,5,270.0,2015-03-12,C,600,376.0,428.0
Maharashtra,BELA TPS,1,270.0,2013-03-20,C,600,513.0,569.0
Maharashtra,BHUSAWAL TPS,3,210.0,1982-09-18,C,600,737.0,761.0
Maharashtra,BHUSAWAL TPS,4,500.0,2012-03-07,C,200,1214.0,1229.0
Maharashtra,BHUSAWAL TPS,5,500.0,2012-03-30,C,200,1235.0,1238.0
Maharashtra,CHANDRAPUR (MAHARASHTRA) STPS,3,210.0,1985-05-03,B,600,1154.0,1282.0
Maharashtra,CHANDRAPUR (MAHARASHTRA) STPS,4,210.0,1986-03-08,B,600,1181.0,1265.0
Maharashtra,CHANDRAPUR (MAHARASHTRA) STPS,5,500.0,1991-03-22,B,200,1229.0,1295.0
Maharashtra,CHANDRAPUR (MAHARASHTRA) STPS,6,500.0,1992-03-11,B,200,1235.0,1286.0
Maharashtra,CHANDRAPUR (MAHARASHTRA) STPS,7,500.0,1997-10-01,B,200,1240.0,1289.0
Maharashtra,CHANDRAPUR (MAHARASHTRA) STPS,8,500.0,2015-03-29,B,200,1224.0,1281.0
